Common Name,Scientific Name,Poison Level,Danger Level,Behavior (Agitated),If Attacked,Category,Endemic,Region,Venom Type,Description
Gray's Sea Snake,Hydrophis gracilis,Highly Venomous,High,"When threatened, Gray's Sea Snake flattens its body and may strike repeatedly.  It is generally considered more aggressive than other sea snakes.",Seek immediate medical attention. Sea snake venom is potent and requires antivenom.  Immobilize the affected limb and minimize movement.,Snake,No,All coastal waters,Neurotoxic,"Gray's Sea Snake ( *Hydrophis gracilis*) is a slender, marine serpent with a distinctly small head and a laterally compressed tail for propulsion.  Coloration varies from grey to olive-brown with darker crossbands, which may fade with age. Found throughout the coastal waters of Sri Lanka and the wider Indo-Pacific, this species inhabits shallow coral reefs, estuaries, and mangroves. It plays a crucial role in the marine ecosystem, primarily feeding on small fish and eels.  Gray's Sea Snake is a prolific breeder, giving birth to live young in the water.  Its neurotoxic venom poses a significant threat to humans, requiring prompt medical attention if bitten."
Guenther's Sea Snake,Hydrophis guentheri,Highly Venomous,High,"Can become highly agitated if cornered or threatened, displaying defensive postures and striking readily.",Seek immediate medical attention. Antivenom is available.,Snake,No,All coastal waters.,Neurotoxic,"Günther's sea snake ( *Hydrophis guentheri*) is a fully aquatic species found in coastal marine environments throughout South and Southeast Asia, including the waters surrounding Sri Lanka.  It has a distinctive flattened, paddle-like tail adapted for swimming and a relatively small head compared to its robust body. The coloration varies from olive-gray to dark brown with lighter crossbands, which often fade with age. Primarily a piscivore, it feeds on bottom-dwelling fish and eels.  Its potent neurotoxic venom plays a crucial role both in subduing prey and as a defense mechanism. Though not inherently aggressive, its potent venom makes it a significant hazard to humans, particularly fishermen. They are an important part of the marine food chain, contributing to the balance of the ecosystem."
Jerdon's Sea Snake,Hydrophis jerdonii,Highly Venomous,High,"Can be highly defensive when cornered or threatened, displaying rapid head movements, flattening its body, and attempting to bite.",Seek immediate medical attention.  Sea snake venom is highly potent.,Snake,No,Coastal waters around Sri Lanka.,Neurotoxic,"Jerdon's Sea Snake ( *Hydrophis jerdonii* ) is a relatively small, fully aquatic sea snake with a distinctive dark back and yellow belly, although coloration can vary. They inhabit shallow coastal marine environments, particularly estuaries, mangroves, and seagrass beds,  feeding primarily on fish and crustaceans.  Their neurotoxic venom is highly dangerous to humans, though they are not typically aggressive unless provoked. As an apex predator within its specific niche, Jerdon's Sea Snake plays a significant role in regulating prey populations and maintaining the balance of the marine ecosystem."
Shaw's Sea Snake,Hydrophis shawii,Highly Venomous,High,"Can be highly aggressive if threatened, displaying rapid head movements and striking repeatedly.",Seek immediate medical attention.  Antivenom is crucial. Immobilize the affected limb and stay calm to slow venom spread.,Snake,No,All coastal waters,Neurotoxic,"Shaw's Sea Snake ( *Hydrophis shawii* ) is a slender, yellow-and-black banded sea snake found in the tropical waters of the Indian Ocean, including all coastal regions of Sri Lanka. These venomous reptiles are adapted to a fully marine existence, possessing a paddle-like tail for propulsion and specialized salt glands for excretion.  They primarily inhabit shallow coastal waters and estuaries, feeding on fish and eels.  Their neurotoxic venom is highly potent and poses a significant threat to humans.  While they play a vital role in the marine ecosystem by controlling fish populations, they should be avoided at all costs due to their defensive nature and dangerous venom."
Chittul Sea Snake,Hydrophis mamillaris,Highly Venomous,High,"When threatened, it flattens its body and may bite defensively.  It's generally considered more placid than some other sea snakes, but caution is always advised.",Seek immediate medical attention. Sea snake venom can be highly potent and requires specialized antivenom. Immobilize the affected limb and stay calm to slow venom spread.,Snake,No,Coastal waters around Sri Lanka,Neurotoxic and Myotoxic,"The Chittul Sea Snake (Hydrophis mamillaris), recognizable by its distinctive bumpy scales, is a venomous sea snake found in the coastal waters of Sri Lanka, as well as other parts of the Indian Ocean and Southeast Asia.  It inhabits shallow coral reefs, estuaries, and mangrove forests, preying primarily on fish.  Their neurotoxic and myotoxic venom is potent and dangerous to humans.  While playing a role in controlling fish populations, they are also preyed upon by larger marine animals like sharks and sea eagles.  Their bumpy scales are believed to aid in camouflage and potentially reduce drag in the water."
John's Sea Snake,Hydrophis johnsonii,Highly Venomous,High,"Becomes highly agitated if cornered or threatened, flattening its body and striking repeatedly.",Seek immediate medical attention. Antivenom is available.  Immobilize the affected limb and apply a pressure immobilization bandage if possible.,Snake,No,"Northern, North Western (coastal waters)",Neurotoxic,"John's Sea Snake ( *Hydrophis johnsonii* ) is a robust, highly venomous sea snake with striking banded patterns of black or dark brown and cream or yellow.  It inhabits coastal waters and estuaries of northern and north-western Sri Lanka, though its range extends beyond into other parts of the Indian Ocean.  Primarily feeding on fish, it plays a role in regulating fish populations within its ecosystem.  Its neurotoxic venom poses a significant threat to humans, though it's typically not aggressive unless provoked.  This species is characterized by a distinctive head that is only slightly wider than its neck, a trait that distinguishes it from other similar sea snakes."
Yellow-bellied Sea Snake,Hydrophis platurus,Highly Venomous,High,"May become highly agitated if threatened, flattening its body and striking repeatedly.",Seek immediate medical attention. Antivenom is available. Avoid any movement that may further agitate the snake.,Snake,No,All coastal waters,Neurotoxic and Myotoxic,"The Yellow-bellied Sea Snake ( *Hydrophis platurus* ) is a pelagic species found in tropical ocean waters around the world, including all coastal regions of Sri Lanka. It is characterized by its distinctive yellow underside and black or dark brown back.  This fully aquatic snake has a laterally compressed, paddle-like tail adapted for swimming. They are typically found in the open ocean, often drifting in large aggregations, and feed primarily on small fish.  Their venom, a potent mix of neurotoxins and myotoxins, is extremely dangerous to humans, but bites are rare due to their typically placid nature unless provoked.  They play a vital role in the marine ecosystem as both predator and prey."
Schmidt's Sea Snake,Hydrophis schmidti,Highly Venomous,High,"When threatened, Schmidt's Sea Snake flattens its body, hisses, and may strike repeatedly.  It is generally considered more aggressive than other sea snakes.",Seek immediate medical attention. Sea snake antivenom is crucial for survival.,Snake,No,Coastal waters around the entire island.,Neurotoxic,"Schmidt's Sea Snake ( *Hydrophis schmidti*) is a robust marine serpent with a distinctive, laterally compressed body, a paddle-like tail for propulsion, and valvular nostrils. Its coloration varies from dark grey or olive to cream with darker bands.  Found in shallow coastal waters, estuaries, and mangrove forests throughout the Indo-Pacific region, including Sri Lanka, it feeds primarily on eels and other bottom-dwelling fish. Its neurotoxic venom is exceptionally potent, posing a significant threat to humans.  It plays an important role in controlling fish populations in its ecosystem.  While it avoids contact with humans, it can be provoked if accidentally stepped on or cornered."
Sri Lankan Ornamental Tarantula,Poecilotheria fasciata,Highly Venomous,High,"Raises front legs and bares fangs in a threat display, may strike rapidly.",Seek immediate medical attention.,Spider (Arachnid),Yes,"North Western, Central, dry zone",Neurotoxic,"The Sri Lankan Ornamental Tarantula ( *Poecilotheria fasciata*) is a large, arboreal spider with striking yellow and black banding on its legs.  It inhabits the dry zone forests of north-western and central Sri Lanka, constructing silken retreats in tree hollows or under loose bark.  Primarily nocturnal, it ambushes flying insects and small vertebrates. While its venom is potent and neurotoxic, posing a medical risk to humans, it plays a crucial role in controlling insect populations within its ecosystem.  It is considered a threatened species due to habitat loss and the illegal pet trade."
Brown Widow Spider,Latrodectus geometricus,Moderately Venomous,Moderate,"When disturbed, the brown widow may rapidly shake its web, creating a blur to deter predators. They are generally timid and prefer to retreat rather than attack.","Seek immediate medical attention. While bites are rarely fatal, they can cause pain, muscle cramps, and other systemic effects, particularly in children and the elderly.",Spider (Arachnid),No,"Throughout the island, particularly in urban areas and human dwellings.",Neurotoxic,"The brown widow spider ( *Latrodectus geometricus*) is a medium-sized spider recognizable by its mottled brown and tan abdomen often featuring a distinctive orange-yellow hourglass marking on the underside. Unlike the black widow, its overall coloration is lighter and more variable. They construct tangled, irregular webs often found in secluded locations around human structures, such as sheds, garages, and outdoor furniture.  These spiders play a beneficial role in controlling insect populations, feeding on flies, mosquitoes, and other small invertebrates. While their venom is neurotoxic, it is generally less potent than that of the black widow, making bites less life-threatening, though medical attention is still advised."
Brown Recluse Spider,Loxosceles reclusa,Highly Venomous,High,"Will attempt to flee, but may bite if cornered or pressed against the skin (e.g., in clothing).",Seek immediate medical attention.  Try to capture the spider for identification.,Spider (Arachnid - not specifically listed in provided categories),No (Not found in Sri Lanka),N/A,Hemotoxic (Necrotic),"The brown recluse spider is a small, light brown spider with a characteristic dark, violin-shaped marking on its back. It prefers dark, undisturbed areas like woodpiles, sheds, and closets. Its venom is necrotic, meaning it causes tissue death around the bite area. While not usually aggressive, its bite can lead to serious medical complications. Its ecological role involves controlling insect populations."
Funnel-web Spiders,Atrax robustus,Highly Venomous,High,"When agitated, these spiders raise their front legs and display their fangs, ready to strike.",Seek immediate medical attention. Antivenom is available for some species.,"Spider (Not listed in your provided options, but the most accurate category)",Data insufficient to confirm endemic status for all Sri Lankan funnel-web species. Some are likely endemic while others may have wider distributions.,"Found throughout the island, including forested areas and human settlements.",Neurotoxic,"Sri Lankan funnel-web spiders, belonging to the family Hexathelidae, are a group of diverse species.  They construct funnel-shaped webs, often in crevices, burrows, or amongst foliage. These webs serve as traps for prey, primarily insects and other small invertebrates.  Their neurotoxic venom can be dangerous to humans, causing severe pain, muscle spasms, and in rare cases, death if left untreated. They play a crucial role in controlling insect populations within their ecosystems.  Accurate species identification is crucial for proper medical treatment."
Indian Red Scorpion   'White Scorpion',Hottentotta tamulus,Highly Venomous,High,"Becomes highly aggressive, raises its tail in a threatening posture and may strike repeatedly.",Seek immediate medical attention. Antivenom is available and crucial for survival. Immobilize the affected limb and minimize movement. Traditional remedies are not effective and can delay essential treatment.,Scorpion,No,"Dry and arid regions, especially North Western, Northern, and parts of Eastern provinces.",Neurotoxic,"The Indian red scorpion (*Hottentotta tamulus*), also sometimes mistakenly called 'White Scorpion' due to color variations, is one of the most medically significant scorpion species in South Asia, including Sri Lanka.  It is a small to medium-sized scorpion, typically reddish-brown to orange-brown in color, with robust pincers and a slender, segmented tail ending in a potent stinger. It inhabits dry, arid areas, often hiding under rocks, logs, and in crevices within human dwellings.  This scorpion is primarily nocturnal, preying on insects and other small invertebrates. Its venom is highly neurotoxic and can be fatal to humans, particularly children and the elderly, if not treated promptly.  While it plays a role in controlling insect populations, its venomous nature poses a significant health risk."
Giant Forest Scorpion,Heterometrus swammerdami,Mildly Venomous,Low,"Raises its tail and pincers in a defensive posture, may strike if provoked further.",Wash the affected area with soap and water. Apply a cold compress. Seek medical attention if symptoms persist or worsen.,Scorpion,Yes,"Throughout the island, particularly in forested areas and near human settlements.","Mild, primarily causes localized pain and swelling.","The Giant Forest Scorpion ( *Heterometrus swammerdami* ) is one of the largest scorpions in the world, reaching lengths of up to 20 cm. It is a predominantly black or dark brown arachnid with robust pincers and a segmented tail ending in a stinger. This scorpion inhabits a variety of terrestrial ecosystems in Sri Lanka, including rainforests, dry forests, and even modified landscapes around human dwellings. It is primarily nocturnal, preying on insects, spiders, and other small invertebrates. Although its sting is painful, it poses little threat to humans unless allergic reactions occur. It plays a vital role in controlling invertebrate populations within its ecosystem."
"Other Scorpion Species (Isometrus spp., Lychas spp., Reddyanus spp.)",Various,Mildly Venomous,Low,"Becomes defensive, raises tail and pincers. May strike repeatedly if provoked.","Seek medical attention, especially if symptoms worsen. Though rarely serious, allergic reactions are possible. Clean the wound with antiseptic soap and water.",Scorpion,"Yes and No (Some species are endemic, others are not)","Island-wide, various habitats.","Mild, primarily localized pain and swelling.","Several scorpion genera, including *Isometrus*, *Lychas*, and *Reddyanus*, are found throughout Sri Lanka, inhabiting diverse environments from forests and grasslands to urban areas. These scorpions are generally small to medium-sized with varying coloration, often brownish or yellowish.  While they possess venom primarily used for subduing prey like insects and small invertebrates, their sting is typically not dangerous to humans, causing localized pain, swelling, and possibly mild numbness. Some species are endemic to Sri Lanka, playing a crucial role in controlling insect populations within their respective ecosystems, while others are more widespread."
Stonefish,Synanceia verrucosa,Highly Venomous,High,Remains motionless and relies on camouflage; may envenomate if stepped on or touched.,Seek immediate medical attention. Hot water immersion of the affected area can provide some pain relief. Antivenom is available.,Fish,No,Coastal waters around Sri Lanka,Neurotoxic and Hemotoxic,"The stonefish ( *Synanceia verrucosa* ) is a master of camouflage, blending seamlessly with rocky or coral reefs in shallow coastal waters of Sri Lanka. Its dorsal spines contain highly potent venom delivered through needle-like tips. Primarily piscivorous, it lies in wait to ambush unsuspecting prey.  Contact with its spines can be extremely painful and even fatal to humans if not treated promptly. Though not actively aggressive, its cryptic nature and powerful venom make it a significant hazard. Its presence plays a role in controlling populations of small fish and crustaceans in its habitat."
Lionfish,Pterois volitans,Highly Venomous,High,Raises dorsal spines and may attempt to sting.,"Seek immediate medical attention. Submerge the affected area in hot (not scalding) water, as heat can denature the venom.",Fish,No,Coastal waters around Sri Lanka,Neurotoxic,"The lionfish ( *Pterois volitans* ) is a striking, invasive fish species found in the coastal waters of Sri Lanka.  Recognizable by its flamboyant, venomous spines and reddish-brown and white stripes, it inhabits coral reefs, rocky areas, and seagrass beds.  Lionfish are voracious predators, disrupting local ecosystems by consuming vast quantities of smaller fish and crustaceans.  Their venomous spines pose a significant threat to humans, causing intense pain, swelling, and potential systemic effects. While not native, they have become established in the region, posing a challenge to native biodiversity."
Scorpionfish,Scorpaenopsis oxycephala,Highly Venomous,High,"Remains motionless, relying on camouflage, may erect dorsal spines if further threatened.","Seek immediate medical attention. The venom can cause intense pain, swelling, and potentially serious systemic effects.",Fish,No,Coastal waters around Sri Lanka,Hemotoxic and Neurotoxic,"The Scorpionfish ( *Scorpaenopsis oxycephala* ) is a master of camouflage, blending seamlessly with the coral reefs and rocky substrates of Sri Lanka's coastal waters.  Covered in cryptic coloring and textured skin with fleshy appendages, it lies in wait for unsuspecting prey. Its dorsal, anal, and pelvic spines are equipped with venom glands, delivering a potent mixture of hemotoxins and neurotoxins. While not aggressive, it will inject venom defensively if stepped on or harassed. This slow-moving predator plays a crucial role in controlling populations of smaller fish and crustaceans within the reef ecosystem."
Catfish (Plotosus lineatus),Plotosus lineatus,Highly Venomous,High,"Becomes aggressive, raises dorsal and pectoral fins, may lunge or dart towards perceived threats.",Seek immediate medical attention. The venom can be extremely painful and potentially fatal.,"Fish (not listed in provided options, closest is Amphibian though inaccurate)",No,"Coastal waters, estuaries, and lagoons around Sri Lanka.",Neurotoxic and Hemolytic,"The Striped Eel Catfish ( *Plotosus lineatus*) is a distinctive fish with a long, eel-like body and prominent barbels around the mouth.  Juveniles are black with bright yellow or white stripes, while adults become more uniformly dark. They inhabit marine and brackish waters, often found in sandy or muddy bottoms and among coral reefs.  Highly venomous spines on the dorsal and pectoral fins deliver a potent sting that can cause excruciating pain and even death in humans.  They play a role as predators of small invertebrates and fish, contributing to the complex food web of their ecosystem.  Their venomous nature makes them a significant hazard to humans, especially fishermen and waders."
Sri Lankan Painted Frog   Bullfrog,Kaloula taprobanica,Non-Venomous,Low,"Inflates its body, may secrete a sticky, irritating skin secretion.",Wash the affected area thoroughly with soap and water.,Amphibian,Yes,"Throughout the island, including dry and intermediate zones.",None,"The Sri Lankan Painted Frog ( *Kaloula taprobanica*), also called the Sri Lankan Bullfrog, is a robust, round frog characterized by its smooth, often brightly colored skin, which can vary from shades of brown and gray to reddish-orange with dark markings. It inhabits a range of environments, including forests, grasslands, and even urban areas, preferring to burrow in loose soil or hide under leaf litter. Primarily nocturnal, it emerges to feed on insects and other invertebrates, playing a vital role in controlling invertebrate populations. During the breeding season, which coincides with the monsoons, they gather in temporary pools and flooded areas to reproduce. Though capable of inflating their bodies and secreting irritating substances when threatened, they pose no significant danger to humans."
Atukorale's Dwarf Toad,Duttaphrynus atukoralei,Mildly Venomous,Low,May secrete bufotoxins from parotoid glands behind the eyes.  Likely to try to hop away.,Wash exposed skin thoroughly with soap and water.,Amphibian,Yes,Central,Mild,"Atukorale's Dwarf Toad ( *Duttaphrynus atukoralei* ) is a small, terrestrial toad endemic to the Knuckles Mountain Range in central Sri Lanka.  It is characterized by its relatively smooth, brown skin with darker markings, and a distinctive pointed snout.  This toad inhabits moist leaf litter and forest floor habitats within its restricted range.  Like other toads, it plays a vital role in the ecosystem by controlling insect populations.  Its secretions are mildly irritating to human skin but pose no serious threat unless ingested or introduced to mucous membranes."
Velvet Ant (wingless wasp),Mutillidae spp.,Highly Venomous,Moderate,"Becomes highly active, may run erratically or curl into a defensive posture.  Produces a squeaking or chirping sound.","Avoid contact. If stung, apply ice and seek medical advice if necessary due to the potential for allergic reactions.",Wasp (Hymenoptera),No,"Island-wide distribution, various habitats.",Mildly Hemolytic,"Velvet ants are not true ants, but rather a family of wingless wasps (Mutillidae).  The females are ground-dwelling and resemble hairy ants, often with bright aposematic coloration (red, orange, yellow) warning of their potent sting. They are solitary parasitoids, meaning they lay their eggs in the nests of other insects (bees, wasps, other ground-nesting insects), and their larvae consume the host's larvae or pupae. They inhabit a wide range of habitats in Sri Lanka, including forests, grasslands, and even urban areas.  Their role in the ecosystem is primarily as a regulator of other insect populations. While their sting is considered one of the most painful among insects, they are not aggressive unless provoked, and fatalities are extremely rare."
Giant Centipede,Scolopendra hardwickei,Highly Venomous,High,"Becomes highly aggressive, raises its front legs and head, and may strike repeatedly.",Seek immediate medical attention.  Traditional remedies are not recommended.,None (Myriapod - Centipede),No,"Throughout the island, particularly in lowland rainforests and moist areas.",Hemotoxic,"The Giant Centipede ( *Scolopendra hardwickei*), instantly recognizable by its striking orange and black bands, is a formidable predator in Sri Lanka's ecosystems. These nocturnal hunters can reach impressive lengths and possess powerful forcipules (modified front legs) that deliver a painful, venomous bite.  Their venom primarily affects the cardiovascular and nervous systems, causing localized swelling, intense pain, and potentially systemic effects. They play a crucial role in controlling insect populations, inhabiting leaf litter, under logs, and within crevices in damp environments. While they usually avoid confrontation, they will readily defend themselves if provoked."
Hornets,Vespa affinis,Moderately Venomous,Moderate,"Becomes highly aggressive, swarming and stinging repeatedly.",Cover your head and face and move quickly away from the nest area. Seek medical attention if stung multiple times or if experiencing allergic reactions.,Insect (Hymenoptera - wasp family),No,"Throughout the island, common in urban and rural areas.","Mild, primarily causing pain and localized swelling, though severe reactions can occur.","The *Vespa affinis* hornet is a social insect, building large paper nests often found in trees, under eaves, or within cavities.  They are robust wasps, with a predominantly black body marked with bands of orange-yellow.  They play a role in the ecosystem as predators of other insects, contributing to natural pest control, but can also pose a threat to honeybee populations.  Their stings, while painful, are not typically life-threatening unless the individual is allergic or receives multiple stings."
Wasps,Polistes spp.,Mildly Venomous,Moderate,"Become highly aggressive, fly erratically, and may sting repeatedly.",Move away slowly and calmly. Avoid swatting. Seek medical attention if allergic or experiencing severe symptoms.,"Insect (Note: the given categories don't include insects, so this is the most appropriate fit)",No,Island-wide distribution across various habitats.,"Mild, primarily causing localized pain and swelling.","*Polistes* wasps in Sri Lanka are social insects, constructing papery nests from chewed plant fibers, typically found attached to tree branches, eaves, or rock overhangs.  They display a diverse array of colors and patterns depending on the species. These wasps play a crucial role in the ecosystem, acting as both predators of smaller insects (helping control pest populations) and as pollinators while foraging for nectar.  While generally not aggressive unless their nest is disturbed, their stings can be painful, especially for those with allergies.  Different species occupy a range of habitats from forests and grasslands to urban areas."
Bees,Apis cerana,Mildly Venomous,Low,"Become more active, fly erratically, and may try to sting if they perceive a threat to their hive.",Move slowly and calmly away from the area. Avoid swatting at them as this may further agitate them.,"Insect (Technically not one of the provided categories, but the closest fit)",No,Island-wide,Mild,"The Asian honey bee ( *Apis cerana*) is a small, social bee species found throughout Sri Lanka, inhabiting diverse habitats from forests and urban areas to agricultural landscapes. They are vital pollinators, contributing significantly to the reproduction of numerous plant species, both wild and cultivated, thus playing a crucial role in maintaining biodiversity and agricultural productivity.  These bees build nests in cavities, such as tree hollows and rock crevices, constructing multiple combs to store honey and raise their young. While generally docile, they will defend their hive aggressively if disturbed, inflicting a mildly painful sting. Their honey and beeswax are valued resources, contributing to local livelihoods."
Fire Ants,Solenopsis spp.,Mildly Venomous,Moderate,"Become highly aggressive, swarming and stinging repeatedly.","Brush them off quickly, avoid crushing them against skin. Wash the affected area with soap and water. Apply a cold compress. Seek medical attention if symptoms worsen or an allergic reaction occurs.","Insect (Note: While the provided categories don't include insects, this is the correct classification)",No,Island-wide distribution,"Mild, primarily causing local pain and inflammation.","Fire ants (Solenopsis spp.) are small, reddish-brown ants known for their aggressive behavior and painful sting.  Several invasive species are present in Sri Lanka, commonly found in disturbed areas, gardens, and agricultural lands.  They build nests in soil, often forming mounds.  Their venom causes a burning sensation, hence the name ""fire ant.""  While not typically life-threatening, their stings can be problematic for sensitive individuals.  Ecologically, they act as both predators and scavengers, impacting invertebrate populations and nutrient cycling.  Their presence can also disrupt agricultural practices."
Bulldog Ants   Giant Ants,Myrmecia spp.,Highly Venomous,High,"Highly aggressive, known to chase intruders over considerable distances, jumping and snapping their mandibles.",Back away slowly and carefully. Seek immediate medical attention if stung.,"Insect (Ant)  *(Note: While not a listed category, providing most accurate category)*",No,Not found in Sri Lanka.  *(Note:  Myrmecia is an Australian genus.)*,Neurotoxic and Myotoxic,"Bulldog ants (Myrmecia spp.) are a genus of large, aggressive ants endemic to Australia, not Sri Lanka. They are characterized by their powerful mandibles, excellent vision, and potent venom which can cause anaphylactic shock in humans. These ants are typically found in open forests and woodlands where they are active hunters of insects and other small invertebrates.  They play an important role in controlling invertebrate populations in their ecosystems. They build nests in the soil, often under logs or rocks."
Processionary Caterpillars,Thaumetopoea spp.,Mildly Venomous,Moderate,"When disturbed, they raise their heads and front body segments in a defensive posture.","Avoid touching them directly. If contact occurs, wash the affected area thoroughly with soap and water and seek medical advice if irritation persists.",Insect (Lepidoptera - moth larvae),No (although specific *species* may be),"Island-wide, various habitats",Mild (urticating hairs causing skin irritation and allergic reactions),"Processionary caterpillars in Sri Lanka, of the genus *Thaumetopoea*, are known for their distinctive habit of moving in nose-to-tail processions. These hairy caterpillars are often found on various host trees, where they feed on leaves. Their hairs are covered in a mildly irritating substance that can cause skin rashes, itching, and allergic reactions in humans.  While not highly venomous, their pervasive presence and potential to trigger reactions pose a moderate threat. They play a role in the ecosystem as prey for birds and other insectivores, while their feeding activity can contribute to defoliation of host plants."
Tiger Beetle Larvae,Cicindelinae (larvae),Mildly Venomous,Low,"If disturbed, the larva will rapidly retreat into its burrow.  It may also make snapping motions with its mandibles.",Brush the larva away.  Wash the affected area with soap and water.,Insect (Larvae of Beetle),"Some species are, others are not.  (Cicindelinae is a large subfamily.)","Island-wide, various habitats.","Mild, primarily for subduing prey.","Tiger beetle larvae are predatory insects that live in vertical burrows in the soil, often in open, sunny areas.  They are ambush predators, waiting at the top of their burrow with their large, sickle-shaped mandibles open.  When prey comes near, the larva strikes with lightning speed, injecting a mild venom to paralyze its victim.  They are an important part of the ecosystem, helping to control populations of other insects.  They can be identified by their cream-colored, segmented body with a distinct head and large mandibles.  They have hooks on their abdomen that help anchor them in their burrows."
Blister Beetles,Meloidae spp.,Mildly Venomous,Low,"When disturbed, they secrete a blistering agent (cantharidin) from leg joints as a defense mechanism.",Wash the affected area thoroughly with soap and water. Avoid touching your eyes or other sensitive areas after handling them. Seek medical attention if a large area is affected or if symptoms worsen.,Insect (Beetle),No,Island-wide distribution in various habitats.,Mild (Cantharidin - a blistering agent),"Blister beetles (Meloidae spp.) are a diverse group of beetles found throughout Sri Lanka.  They vary in size and coloration but are often recognized by their elongated bodies and relatively soft elytra (wing covers). They inhabit a range of environments including grasslands, forests, and agricultural areas.  Blister beetles are herbivores, feeding on plants and sometimes crops.  Their larvae parasitize other insects, particularly bees and grasshoppers, playing a role in regulating insect populations.  The cantharidin they produce serves as a powerful defense against predators but can cause skin blisters in humans upon contact."
Assassin Bugs,Reduviidae spp.,Mildly Venomous,Low,May become aggressive and attempt to bite if disturbed or handled roughly.,Wash the affected area thoroughly with soap and water. Seek medical attention if symptoms persist or worsen.,Insect,No,Island-wide distribution across various habitats.,"Mild, primarily for subduing prey.","Assassin bugs (Reduviidae spp.) are a diverse group of predatory insects found throughout Sri Lanka. These insects are characterized by their elongated bodies, narrow heads, and curved rostrum (beak-like mouthpart) used to inject venom and enzymes into their prey.  They inhabit a variety of ecosystems, from forests and grasslands to agricultural lands and even urban areas.  Assassin bugs play a crucial role in controlling insect populations, preying on other insects, spiders, and sometimes small vertebrates. While their bite can be painful to humans, it's typically not medically significant unless an individual is allergic. Their coloration varies greatly between species, ranging from cryptic browns and greens to vibrant warning colors."
Millipedes (irritating fluids),Various spp.,Mildly Venomous,Low,Curls into a coil and secretes irritating fluids.,Wash the affected area thoroughly with soap and water. Seek medical attention if irritation persists.,Invertebrate (Myriapod),"Some species are endemic, others are not.",Island-wide distribution in various habitats.,"Mild, irritating chemicals (not true venom).","Sri Lankan millipedes are diverse, ranging from small, inconspicuous species to larger, more robust ones.  They are characterized by their numerous legs and cylindrical body segments.  Inhabiting a variety of ecosystems, including forests, grasslands, and even urban gardens, millipedes play an essential role as detritivores, breaking down decaying organic matter and contributing to nutrient cycling.  When threatened, they often coil up as a defense mechanism and secrete irritating fluids containing benzoquinones and other chemicals, which can cause skin irritation, burning, and discoloration.  While not truly venomous, these defensive secretions can be unpleasant for humans."
False Widow Spiders,Steatoda spp.,Mildly Venomous,Low,"When disturbed, they may retreat, display a threat posture by raising their front legs, or bite if they feel threatened.",Wash the bite area with soap and water. Apply a cold compress. Seek medical attention if symptoms worsen or persist.,Spider (Arachnid),No,Island-wide distribution,"Mild, primarily neurotoxic","False widow spiders (Steatoda spp.) are a group of spider species found across Sri Lanka, often mistaken for the more dangerous black widow. They are typically dark-colored, often with brownish or purplish hues and sometimes with pale markings. These spiders create tangled webs in sheltered locations like crevices, under rocks, or within human dwellings. They play a role in controlling insect populations, preying on flies, mosquitoes, and other small invertebrates. Their bite, while usually not medically significant for humans, can cause localized pain, redness, and swelling, similar to a bee sting. Some individuals may experience mild systemic effects like nausea or headaches."
Wolf Spiders,Lycosidae spp.,Mildly Venomous,Low,May raise front legs in a defensive posture and attempt to bite if cornered or provoked.,Wash the bite area with soap and water. Apply a cold compress. Seek medical attention if symptoms worsen or allergic reactions occur.,"Arachnid (Although not listed, this is the appropriate category)",No,Island-wide,"Mild, mainly localized pain and swelling.","Wolf spiders are a diverse family (Lycosidae) of hairy, ground-dwelling arachnids found throughout Sri Lanka, typically in grasslands, forests, and home gardens.  They are robust, agile hunters, actively pursuing prey rather than building webs. Their excellent eyesight, derived from eight eyes arranged in three rows, aids in hunting insects and other small invertebrates.  They play a crucial role in controlling insect populations, contributing to the balance of the ecosystem. Female wolf spiders are known for their maternal care, carrying their egg sacs attached to their spinnerets and later carrying their young on their backs."
